"crash_date_time","collision_type","weather","surface_condition","light","driver_at_fault","injury_severity","vehicle_first_impact_location","vehicle_body_type","vehicle_movement","vehicle_going_dir","speed_limit","vehicle_year","vehicle_make","vehicle_model","latitude","longitude","location"
"09/18/2024 02:00:00 PM","Sideswipe, Same Direction","Cloudy","Dry","Daylight","Yes","No Apparent Injury","Eleven O Clock","Passenger Car","Changing Lanes","Northbound","40","2013","NISSAN","ALTIMA","39.04530737","-76.99220762","(39.04530737, -76.99220762)"
"09/18/2024 11:42:00 AM","Front to Rear","Clear","Dry","Daylight","Yes","No Apparent Injury","Vehicle Not at Scene","Passenger Car","Slowing or Stopping","Not On Roadway","30","2009","BMW","X5","39.08127612","-76.94607788","(39.08127612, -76.94607788)"
"09/18/2024 10:30:00 AM","Other","Rain","Wet","Daylight","Yes","No Apparent Injury","One O Clock","Single-Unit Truck","Accelerating","Southbound","35","2016","FREIGHTLINER","M2","39.01965048","-77.01306591","(39.01965048, -77.01306591)"
"09/18/2024 08:44:00 AM","Front to Rear","Rain","Wet","Daylight","No","No Apparent Injury","Seven O Clock","Passenger Car","Backing","Not On Roadway","10","2007","HONDA","ACCORD","39.04018594","-76.98953656","(39.04018594, -76.98953656)"
"09/18/2024 08:00:00 AM","Angle","Rain","Wet","Daylight","No","Suspected Minor Injury","Twelve O Clock","Single-Unit Truck","Slowing or Stopping","Northbound","35","2015","FREIGHTLINER","B2 106 ELECTRIC CONVENTIONAL CHASSIS","39.10494521","-77.19031502","(39.10494521, -77.19031502)"
"09/18/2024 07:55:00 AM","Front to Rear","Rain","Wet","Daylight","No","No Apparent Injury","Six O Clock","Passenger Car","Slowing or Stopping","Eastbound","40","2008","NISSAN","ALTIMA","39.06308239","-77.04087984","(39.06308239, -77.04087984)"
"09/18/2024 03:51:00 AM","Single Vehicle","Rain","Wet","Dark - Lighted","No","No Apparent Injury","Eleven O Clock","Passenger Car","Moving Constant Speed","Northbound","55","2022","TESLA","MODEL 3","39.13519013","-77.20951573","(39.13519013, -77.20951573)"
"09/18/2024 12:30:00 AM","Front to Rear","Clear","Dry","Dark - Lighted","No","No Apparent Injury","Twelve O Clock","Passenger Car","Moving Constant Speed","Westbound","30","2008","TOYOTA","SIENNA","39.17413765","-77.20846367","(39.17413765, -77.20846367)"
"09/17/2024 06:53:00 PM","Sideswipe, Same Direction","Rain","Wet","Dark - Lighted","Yes","No Apparent Injury","Eleven O Clock","Passenger Car","Entering Traffic Lane","Westbound","30","2019","MERCEDES-BENZ","C-CLASS","39.157528","-77.2663975","(39.157528, -77.2663975)"
"09/17/2024 05:15:00 PM","Front to Rear","Rain","Wet","Daylight","No","No Apparent Injury","Six O Clock","Passenger Car","Moving Constant Speed","Southbound","30","2013","HONDA","ACCORD","39.01045067","-77.13328267","(39.01045067, -77.13328267)"
